Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
0 	19.569540	0.000000	1.331306	-133.729651	0.000000	0.000000	0.000000	0.000000	-34.380824	0.000000	-0.014797	-10150.836958	0.000000	0.000000	0.000000	0.000000	-10298.061384
0 	19.569540	0.000000	1.331306	-133.729651	0.000000	0.000000	0.000000	0.000000	-34.380824	0.000000	-0.014797	-10150.836958	0.000000	0.000000	0.000000	0.000000	-10298.061384
4000 	565.285479	0.000000	104.437701	-64.308088	0.000000	0.000000	0.000000	-0.147966	-50.965790	0.000000	-19.225091	-20312.753175	0.000000	0.000000	0.000000	0.000000	-19777.676930
4000 	565.285479	0.000000	104.437701	-64.308088	0.000000	0.000000	0.000000	-0.147966	-50.965790	0.000000	-19.225091	-20312.753175	0.000000	0.000000	0.000000	0.000000	-19777.676930
8000 	498.302149	0.000000	64.657353	-63.173993	0.000000	0.000000	0.000000	-6.543019	-53.695996	0.000000	-36.504157	-24727.554423	0.000000	0.000000	0.000000	0.000000	-24324.512086
8000 	498.302149	0.000000	64.657353	-63.173993	0.000000	0.000000	0.000000	-6.543019	-53.695996	0.000000	-36.504157	-24727.554423	0.000000	0.000000	0.000000	0.000000	-24324.512086
12000 	322.418215	0.000000	41.742551	-79.242197	0.000000	0.000000	0.000000	-0.943884	-51.725843	0.000000	-40.254473	-26198.448567	0.000000	0.000000	0.000000	0.000000	-26006.454197
12000 	322.418215	0.000000	41.742551	-79.242197	0.000000	0.000000	0.000000	-0.943884	-51.725843	0.000000	-40.254473	-26198.448567	0.000000	0.000000	0.000000	0.000000	-26006.454197
16000 	334.102132	0.000000	65.583025	-98.995616	0.000000	0.000000	0.000000	-8.779840	-55.239924	0.000000	-44.387012	-27943.301534	0.000000	0.000000	0.000000	0.000000	-27751.018770
16000 	334.102132	0.000000	65.583025	-98.995616	0.000000	0.000000	0.000000	-8.779840	-55.239924	0.000000	-44.387012	-27943.301534	0.000000	0.000000	0.000000	0.000000	-27751.018770
20000 	296.616430	0.000000	63.015965	-105.696838	0.000000	0.000000	0.000000	-5.323740	-53.388437	0.000000	-50.008477	-29296.387910	0.000000	0.000000	0.000000	0.000000	-29151.173006
20000 	296.616430	0.000000	63.015965	-105.696838	0.000000	0.000000	0.000000	-5.323740	-53.388437	0.000000	-50.008477	-29296.387910	0.000000	0.000000	0.000000	0.000000	-29151.173006
