Steps,    Chain,           Shake,           Chi,             Rama,            Excluded,        DSSP,            P_AP,            Water,           Burial,          Helix,           AMH-Go,       Frag_Mem,        Vec_FM,          Membrane,        SSB,          VTotal,      Ebond,     Epair
0, 19.5695403577869, 0, 1.33130565977336, -133.729651462799, 0, 0, 0, 0, -34.3808238384904, 0, 0, -101.508369579513, 0, 0, 0, -248.717998863242, 16141.9748446967, 0
4000, 565.285479232033, 0, 104.437700723913, -64.3080882633332, 0, 0, 0, -0.147965840008075, -50.965790196577, 0, 0, -203.127531746013, 0, 0, 0, 351.173803910015, 832.815304983358, 10.3425270541734
8000, 498.302148686585, 0, 64.6573532790566, -63.1739930488082, 0, 0, 0, -6.54301860641672, -53.6959962722342, 0, 0, -247.275544231991, 0, 0, 0, 192.270949806192, 158.981967871655, 4.60952094221369
12000, 322.418215334673, 0, 41.7425513923264, -79.2421972054928, 0, 0, 0, -0.943883821218184, -51.7258434292627, 0, 0, -261.984485666495, 0, 0, 0, -29.7356433954693, 139.822143559686, 2.65707061442783
16000, 334.102131537774, 0, 65.5830248707351, -98.9956159188529, 0, 0, 0, -8.77983979368889, -55.2399239827802, 0, 0, -279.433015341865, 0, 0, 0, -42.7632386286778, 119.555154418947, 6.28000931791031
20000, 296.616429568312, 0, 63.0159654919144, -105.696837543704, 0, 0, 0, -5.32373955891921, -53.3884370091188, 0, 0, -292.963879096618, 0, 0, 0, -97.7404981481336, 113.956766758139, 10.7709334977314
24000, 351.699319715693, 0, 63.0086327525848, -93.3596578960615, 0, 0, 0, -3.8150570176661, -54.433968865062, 0, 0, -311.855348806937, 0, 0, 0, -48.7560801174488, 121.170205818901, 12.4091266320921
28000, 292.018128206377, 0, 41.0104111871772, -107.176286666263, 0, 0, 0, -2.95897047963079, -54.2592799718649, 0, 0, -310.66382751044, 0, 0, 0, -142.029825234644, 118.534134974699, 3.69610589172019
32000, 269.903268885077, 0, 45.1805839939576, -101.062971999585, 0, 0, 0, -2.04994852563796, -53.2431561899187, 0, 0, -321.217725334736, 0, 0, 0, -162.489949170843, 120.447773842641, 8.17073464550329
36000, 304.203729355781, 0, 48.5833722413361, -106.821611771053, 0, 0, 0, -2.13050415002213, -55.2945820629557, 0, 0, -313.487171869383, 0, 0, 0, -124.946768256297, 126.569111166864, 9.74598135542924
40000, 326.358463994822, 0, 54.811605535459, -105.421033591647, 0, 0, 0, -11.0858083515887, -53.8870959980355, 0, 0, -318.083142350021, 0, 0, 0, -107.307010761011, 131.643705759267, 10.8018370185042
44000, 266.32819478861, 0, 50.0043334855449, -117.106292797997, 0, 0, 0, -11.9596684574693, -53.7722523628496, 0, 0, -308.770561306055, 0, 0, 0, -175.276246650216, 115.52213247004, 8.93739693206806
48000, 359.173719072091, 0, 70.3650915665975, -114.410413349184, 0, 0, 0, -22.1648062491673, -53.876305463399, 0, 0, -304.091776198613, 0, 0, 0, -65.0044906216748, 139.852702645928, 12.1381961349657
52000, 281.827943098487, 0, 43.4993868644433, -108.987948289576, 0, 0, 0, -19.0712937799078, -53.6791367321325, 0, 0, -305.569104338875, 0, 0, 0, -161.980153177561, 132.837718399948, 11.2980601238737
56000, 266.146321886608, 0, 39.5764233599459, -98.4752030377119, 0, 0, 0, -21.7959861389315, -54.7602996536206, 0, 0, -306.633967347798, 0, 0, 0, -175.942710931508, 115.082668137543, 5.81551051146681
60000, 260.32949431916, 0, 62.965006055128, -110.724250669018, 0, 0, 0, -19.9490040391024, -55.0961419877291, 0, 0, -296.888350187184, 0, 0, 0, -159.363246508745, 112.829759164442, 7.56674199736303
64000, 290.197665723655, 0, 64.821315121571, -95.9883457975988, 0, 0, 0, -21.7104370147579, -55.8302127636376, 0, 0, -293.339691993788, 0, 0, 0, -111.849706724556, 124.576930045928, 9.88094913279766
68000, 292.882411007615, 0, 54.9497423291713, -105.452731204776, 0, 0, 0, -18.4786683314934, -56.3786408874372, 0, 0, -316.464639284315, 0, 0, 0, -148.942526371235, 127.200419444841, 12.705576150311
72000, 288.562664735645, 0, 54.6215655071501, -106.759057678772, 0, 0, 0, -18.1892462094898, -56.1623703792368, 0, 0, -301.75388654958, 0, 0, 0, -139.680330574283, 129.945457923654, 12.9537031377237
76000, 317.658069847811, 0, 72.778550167993, -110.459647358112, 0, 0, 0, -25.4316495521753, -54.4957801769568, 0, 0, -297.106421784544, 0, 0, 0, -97.0568788559841, 125.248508623466, 4.97896442348906
80000, 306.819565213642, 0, 55.6898843719243, -110.999173956941, 0, 0, 0, -26.0954780002407, -55.4103722934605, 0, 0, -305.483044065899, 0, 0, 0, -135.478618730975, 114.292446181383, 5.06617956565098
84000, 315.097389258332, 0, 50.105680654293, -112.393582469732, 0, 0, 0, -24.1323740914424, -54.7453539788653, 0, 0, -308.518291590433, 0, 0, 0, -134.586532217848, 115.809612031553, 4.23174851467004
88000, 286.245930106315, 0, 54.1776601084025, -118.169465273059, 0, 0, 0, -30.5086376703967, -54.8180704338499, 0, 0, -310.289755323413, 0, 0, 0, -173.362338486001, 126.782919583078, 14.7789920068214
92000, 215.63573850006, 0, 50.5918542777565, -113.816878082798, 0, 0, 0, -25.5339165033364, -55.2410634065312, 0, 0, -315.468362928737, 0, 0, 0, -243.832628143586, 102.955925360674, 9.80001143829676
96000, 298.753375942582, 0, 48.0539029335056, -119.021781653523, 0, 0, 0, -28.3423814135195, -55.8045048906885, 0, 0, -304.819605636745, 0, 0, 0, -161.180994718388, 134.555468444913, 9.32496354186137
100000, 276.349662261368, 0, 57.0468929613756, -108.636193500489, 0, 0, 0, -20.9029435851403, -55.5684737331852, 0, 0, -305.114356967527, 0, 0, 0, -156.825412563598, 111.203855387126, 8.90037086910393
104000, 309.800642487504, 0, 58.9332661838288, -114.978815397448, 0, 0, 0, -19.2317536146614, -54.814159476185, 0, 0, -317.172873845638, 0, 0, 0, -137.4636936626, 111.253579784528, 4.84858704431057
108000, 326.522342625628, 0, 45.232683114308, -108.565491467287, 0, 0, 0, -18.4167441759896, -54.1480205187284, 0, 0, -309.436701701635, 0, 0, 0, -118.811932123704, 115.909336931751, 8.65803398512945
112000, 288.352367530267, 0, 53.4993264405069, -114.632544560407, 0, 0, 0, -17.1077630068248, -56.5647521736848, 0, 0, -316.519861765159, 0, 0, 0, -162.973227535302, 112.162793376181, 10.9914099632345
116000, 284.884384454195, 0, 51.4919866382294, -117.378236000837, 0, 0, 0, -21.6784001429322, -54.9729332928394, 0, 0, -305.445647410304, 0, 0, 0, -163.098845754488, 127.915734877058, 9.23976416784975
120000, 270.352717150458, 0, 55.3367551166549, -101.0890233498, 0, 0, 0, -18.3978774324693, -56.7724772529764, 0, 0, -313.697594721365, 0, 0, 0, -164.267500489498, 129.912763901461, 10.7014011847229
124000, 292.899267852736, 0, 51.0689053391727, -118.380697864392, 0, 0, 0, -31.8808805280343, -55.582125919093, 0, 0, -309.451269926117, 0, 0, 0, -171.326801045728, 118.172374386209, 6.53107493292829
128000, 320.781166295991, 0, 55.0893111555677, -111.874767369196, 0, 0, 0, -26.2414608909929, -55.7527680426093, 0, 0, -323.257484207009, 0, 0, 0, -141.256003058248, 141.371596347022, 11.2822118407926
132000, 298.289495962169, 0, 53.7626430401365, -106.542540074541, 0, 0, 0, -23.4239831476043, -55.2801472284857, 0, 0, -310.693664283883, 0, 0, 0, -143.888195732209, 137.898220900501, 5.54578262248692
136000, 365.042838979134, 0, 59.8043170590594, -113.412918040732, 0, 0, 0, -20.8027314500153, -53.9534931558008, 0, 0, -314.364259851064, 0, 0, 0, -77.6862464594187, 129.393549840649, 2.74753320823327
140000, 327.1244464407, 0, 68.9172021868656, -107.580157506259, 0, 0, 0, -20.1989960611157, -56.1055913003003, 0, 0, -304.212609811228, 0, 0, 0, -92.0557060513374, 100.32498726135, 8.17595147604611
144000, 270.024751657434, 0, 47.4784108982573, -113.463594736187, 0, 0, 0, -16.4139203545367, -54.1484944566804, 0, 0, -310.483631328915, 0, 0, 0, -177.006478320628, 115.911184634356, 9.11610997791674
148000, 290.071595753188, 0, 51.3376388214371, -102.126963590329, 0, 0, 0, -22.5166083240726, -54.4771024572868, 0, 0, -298.94005176167, 0, 0, 0, -136.651491558733, 137.847612429446, 1.78063803532305
152000, 247.620351545586, 0, 56.566932298863, -109.174160918824, 0, 0, 0, -23.2328499254792, -55.0714048770662, 0, 0, -312.153609551251, 0, 0, 0, -195.444741428171, 108.420872910146, 6.25567709146563
156000, 308.74268119567, 0, 61.4523272096309, -110.015406003063, 0, 0, 0, -19.9917698630317, -55.0595170259764, 0, 0, -303.308018993496, 0, 0, 0, -118.179703480266, 114.913307634131, 14.6636325468442
160000, 299.211338587032, 0, 51.0168707891976, -113.614152637099, 0, 0, 0, -19.6929522280057, -54.7511025890359, 0, 0, -305.671607861641, 0, 0, 0, -143.501605939552, 136.967418242543, 10.7453770906685
164000, 358.430953617514, 0, 63.8340569669449, -108.057535189791, 0, 0, 0, -17.7490132793835, -56.0174094006141, 0, 0, -306.566921403158, 0, 0, 0, -66.1258686884877, 118.319800776438, 3.9659719518912
168000, 308.35650229521, 0, 64.9297920863517, -101.430729554001, 0, 0, 0, -7.16104884709964, -53.2679220646366, 0, 0, -309.835618199725, 0, 0, 0, -98.4090242839005, 106.7053876964, 7.20442154672781
172000, 303.805183864679, 0, 47.3456029122755, -110.948932137015, 0, 0, 0, -12.9246750565491, -52.9600033015901, 0, 0, -311.433923763783, 0, 0, 0, -137.116747481983, 124.510730767329, 4.97995750332035
