Steps, Qw, Rg, Tc, Energy
0, 0.00547156536330114, 58.0902347444659, 1, 5843.91346075154
4000, 0.104800032371125, 22.8652110754391, 17, -18934.5190982519
8000, 0.166598404714909, 18.4884407122814, 48, -24160.9205975377
12000, 0.152894755738794, 17.8004735698612, 35, -25863.9749832104
16000, 0.227607575982803, 15.2322920294243, 43, -27625.183605963
20000, 0.1820565212679, 17.9907728205315, 42, -29026.445305295
24000, 0.184002648969673, 17.7388776534102, 54, -30844.8697923794
28000, 0.23136140203844, 16.2280060793939, 42, -30826.9792098993
32000, 0.236712458426794, 16.1722748916596, 49, -31897.9620182424
36000, 0.236993823283869, 15.9784692255453, 48, -31086.6018926116
40000, 0.282767485901414, 14.0948995146552, 61, -31520.0639801923
44000, 0.276002736264615, 13.9655905300657, 52, -30671.3566230124
48000, 0.284281060439701, 12.6411423116739, 47, -30077.8079729646
52000, 0.272553885142522, 12.7330725895299, 54, -30326.9081672959
56000, 0.232781847986333, 15.062441409299, 52, -30467.1823443517
60000, 0.239587865424539, 15.4180833887484, 51, -29477.3849584538
64000, 0.283455373119623, 13.186658932501, 55, -29067.3724394308
68000, 0.278731931314965, 14.1459285471977, 60, -31404.2049298597
72000, 0.262228571285451, 13.8922242902262, 56, -29925.932157369
76000, 0.32482514008473, 12.5181808872939, 53, -29443.7394293565
80000, 0.272486658745617, 14.3039375418598, 47, -30317.3544116078
84000, 0.297734846625104, 12.7059059086539, 53, -30623.4219998281
88000, 0.281180460717507, 13.2250820695071, 62, -30813.2423676469
92000, 0.291127066225255, 12.6241586984125, 62, -31425.3149902794
96000, 0.259684191195789, 13.4657475799998, 62, -30255.001851209
100000, 0.277207233360985, 12.9495269740497, 59, -30302.9002489922
104000, 0.281029567654593, 12.9463878112051, 57, -31482.5092740928
108000, 0.310693609597101, 13.6497211623737, 58, -30692.7276501672
112000, 0.26843289558845, 15.278558814802, 59, -31435.9146959639
116000, 0.306129761269675, 13.8075354439446, 58, -30325.885119302
120000, 0.326701497217841, 12.4210784196316, 58, -31144.4663744242
124000, 0.320265679041496, 11.8435258700933, 55, -30753.4827151727
128000, 0.349469424116615, 11.4507919885808, 65, -32068.5605720124
132000, 0.396421392880946, 12.0525124031938, 62, -30837.1621868911
136000, 0.39255357677922, 12.400381650712, 54, -31144.9414497107
140000, 0.320919701077281, 12.2204794601552, 48, -30160.5584360683
144000, 0.299196888798733, 13.4022513768934, 61, -30863.1752299003
148000, 0.29648034670311, 12.8605571261181, 50, -29657.7464489559
152000, 0.329661214993408, 12.6513035307564, 54, -31060.2334191056
156000, 0.268565004665287, 13.2553913654879, 44, -30065.3431052143
160000, 0.294836461776469, 13.0314563227441, 56, -30325.7470410986
164000, 0.280499256043748, 12.9789835175918, 55, -30357.613249396
168000, 0.262909365522044, 14.606778403625, 53, -30711.6197649738
172000, 0.287283420478444, 13.8143734726441, 44, -30896.295669384
176000, 0.238679398453302, 14.6598940923811, 50, -31020.1646018066
180000, 0.248392217387755, 13.6691825285862, 45, -30430.3934689297
184000, 0.297151431203376, 12.8890672946364, 57, -31106.092630491
188000, 0.311503700003887, 11.9785940493018, 64, -30636.9410217678
192000, 0.288461057338887, 11.8882285979491, 65, -30569.440512359
196000, 0.320750498328176, 12.0027395152371, 61, -30799.0021789405
200000, 0.317848561492171, 12.690233991702, 65, -31896.5508285252
204000, 0.301145306178446, 12.7689436966145, 59, -31167.895170469
208000, 0.288145642638785, 12.653985318549, 61, -31693.4625350489
212000, 0.291559324959281, 12.7225362865362, 51, -29692.2681663314
216000, 0.328767473506216, 13.4266515238143, 62, -30770.8296988516
220000, 0.360513770226641, 12.7788112813069, 68, -30562.723269314
224000, 0.360709096892965, 12.4961104501996, 60, -31978.5585509483
228000, 0.320603134168946, 12.6286105305457, 58, -31660.0326817184
232000, 0.365095480607903, 12.0851198207252, 64, -31583.5891046658
236000, 0.363675795967553, 12.85648154457, 65, -31349.5691309085
240000, 0.308249538526262, 13.2140127733907, 65, -30460.2928572422
244000, 0.35479313309556, 13.7258518687549, 58, -31195.5052917946
248000, 0.316388566630044, 13.6543953807807, 66, -31210.2375767042
252000, 0.265587739661917, 15.2152169642099, 55, -31051.9360237244
256000, 0.35320123185238, 12.5793506017072, 64, -31514.5058720832
260000, 0.352246397108278, 12.0078564563402, 64, -31510.3890416344
264000, 0.311088960713288, 14.8099123343666, 61, -31352.1697621945
268000, 0.323935288995088, 13.9843517744541, 52, -31079.5824522988
272000, 0.273893308901321, 14.3170177201907, 54, -30549.8015623791
276000, 0.281456023033751, 13.9926335523395, 62, -30794.0652607201
280000, 0.252416507104009, 12.4769532021919, 59, -30191.8674423081
284000, 0.282122415472302, 12.8034905558091, 59, -30107.8519450451
288000, 0.325394543549189, 13.3570117610642, 64, -31787.2230947498
292000, 0.286609448698266, 12.8238590313851, 55, -31270.3813945337
296000, 0.293066706494958, 12.6913137064758, 62, -31432.52301194
300000, 0.291573387535461, 13.0726266664329, 58, -31508.9103944017
304000, 0.287363474509012, 13.7452463146908, 59, -31500.1354802185
308000, 0.238211389582238, 14.2459857605046, 52, -30468.8445256112
312000, 0.29349966652692, 13.8071643265664, 61, -31328.8529966847
316000, 0.222880137669944, 13.735621817296, 46, -30569.7675145799
320000, 0.302143015613103, 13.8466873812766, 59, -31184.7879821634
324000, 0.320170622587084, 13.09053378445, 67, -32737.0588203163
328000, 0.310093781007528, 12.55991349462, 62, -31662.9323542617
332000, 0.328507282300772, 12.673465906401, 59, -31707.9825617318
336000, 0.296046246334568, 13.5079303468894, 56, -31096.8900269431
340000, 0.260235378539264, 17.3265213049327, 44, -30714.599995919
344000, 0.284159509506323, 16.1300678708839, 60, -31186.182869823
348000, 0.253851960866665, 15.4372575315076, 68, -31387.0300360699
352000, 0.341329619471103, 12.8426895974076, 58, -31429.3412335462
356000, 0.291527560436691, 14.5709682055215, 52, -31438.5501713471
360000, 0.233395588455503, 14.3820423574385, 54, -30201.4291728371
364000, 0.295186797064878, 14.610710381571, 49, -31130.3576420156
368000, 0.301192228832043, 14.6746997809129, 50, -30763.1800062339
372000, 0.320149427558554, 14.1145293246193, 49, -30508.6498713409
376000, 0.36418421811817, 14.0923972037024, 66, -31442.41118609
380000, 0.390964411447059, 13.2495782017997, 71, -31289.2510694664
384000, 0.401021714441405, 12.4327764357913, 61, -31602.8191529054
388000, 0.331098196695629, 12.6990218365357, 64, -31611.2288623537
392000, 0.39899675353002, 12.9866324316448, 68, -32371.6795871453
396000, 0.405806271475594, 12.8416216931139, 58, -31331.5535766593
400000, 0.438117208678927, 11.5413405321548, 72, -31685.0521727402
404000, 0.345631953017592, 13.4274748440569, 59, -30161.0822941303
408000, 0.312666950944274, 13.9457387725417, 58, -31259.0382800853
412000, 0.280866111923202, 14.3335820844179, 61, -31986.562895486
416000, 0.280975112166244, 15.0225753741851, 57, -31027.6083850263
420000, 0.283999398773221, 14.7545812949794, 58, -31178.3682668229
424000, 0.250543730253252, 15.8806693835058, 44, -29833.2068676606
428000, 0.321717639633542, 12.3423325436205, 56, -31082.3863238613
432000, 0.297610139730196, 14.5464569103189, 54, -30829.9956663192
436000, 0.388486398889426, 12.7003580184755, 47, -31131.736998695
440000, 0.306424758594761, 13.6444332570771, 45, -30649.2704087181
444000, 0.344986374883928, 12.6019942056171, 55, -30783.4369298363
448000, 0.304725121515803, 13.6552125791867, 54, -32388.1514663457
452000, 0.361011930264023, 12.6318013900758, 57, -31173.4832859727
456000, 0.353256164001159, 12.3153673704259, 60, -31253.0455238372
460000, 0.270036469499416, 14.0654572480203, 52, -30875.0252441148
464000, 0.34407243017179, 12.4727625102002, 70, -31688.8616803901
468000, 0.337321793663, 12.8663814954829, 59, -31353.088852149
